subscription_id,customer_id,product_category,plan_type,start_date,status,cancellation_date
SUB00063,CUST00191,haircare,monthly,2024-01-25,active,
SUB00064,CUST00193,haircare,monthly,2024-01-23,cancelled,2024-02-22
SUB00065,CUST00194,supplements,quarterly,2024-01-06,active,
SUB00066,CUST00197,skincare,quarterly,2024-01-28,active,
SUB00067,CUST00207,wellness_bundle,monthly,2024-01-04,cancelled,2024-10-30
SUB00068,CUST00210,wellness_bundle,quarterly,2024-01-16,active,
SUB00069,CUST00220,supplements,monthly,2024-01-09,active,
SUB00070,CUST00223,skincare,quarterly,2024-01-10,active,
SUB00071,CUST00231,supplements,monthly,2024-01-22,cancelled,2024-09-18
SUB00072,CUST00233,skincare,quarterly,2024-01-13,active,
SUB00073,CUST00238,wellness_bundle,monthly,2024-01-28,cancelled,2024-04-27
SUB00074,CUST00244,haircare,quarterly,2024-01-14,active,
SUB00075,CUST00245,skincare,monthly,2024-01-22,cancelled,2024-03-22
SUB00076,CUST00246,supplements,quarterly,2024-01-03,active,
SUB00077,CUST00247,wellness_bundle,quarterly,2024-01-25,active,
SUB00078,CUST00248,haircare,monthly,2024-01-22,cancelled,2024-08-19
SUB00079,CUST00249,haircare,monthly,2024-01-22,active,
SUB00080,CUST00250,haircare,monthly,2024-01-07,active,
SUB00081,CUST00251,wellness_bundle,monthly,2024-01-13,active,
SUB00082,CUST00252,skincare,monthly,2024-01-30,cancelled,2024-04-29
SUB00083,CUST00254,haircare,quarterly,2024-01-01,active,
SUB00084,CUST00255,skincare,monthly,2024-01-05,cancelled,2024-02-04
SUB00085,CUST00259,skincare,monthly,2024-01-14,cancelled,2024-05-13
SUB00086,CUST00262,wellness_bundle,monthly,2024-01-01,active,
SUB00087,CUST00263,skincare,quarterly,2024-01-08,active,
SUB00088,CUST00264,skincare,quarterly,2024-01-21,active,
SUB00089,CUST00265,haircare,quarterly,2024-01-11,active,
SUB00090,CUST00266,skincare,monthly,2024-01-16,active,
SUB00091,CUST00268,haircare,monthly,2024-01-09,cancelled,2024-10-05
SUB00092,CUST00269,skincare,quarterly,2024-01-28,active,
SUB00093,CUST00270,haircare,monthly,2024-01-24,active,
SUB00094,CUST00271,supplements,monthly,2024-01-24,cancelled,2024-06-22
SUB00095,CUST00273,haircare,quarterly,2024-01-20,active,
SUB00096,CUST00275,supplements,quarterly,2024-01-18,active,
SUB00097,CUST00276,supplements,monthly,2024-01-16,cancelled,2024-10-12
SUB00098,CUST00278,supplements,quarterly,2024-01-19,cancelled,2024-10-15
SUB00099,CUST00279,supplements,quarterly,2024-01-19,active,
SUB00100,CUST00280,skincare,monthly,2024-01-29,active,
SUB00101,CUST00281,skincare,quarterly,2024-01-15,active,
SUB00102,CUST00284,skincare,monthly,2024-01-19,cancelled,2024-05-18
SUB00103,CUST00287,skincare,quarterly,2024-01-07,cancelled,2024-07-05
SUB00104,CUST00288,supplements,quarterly,2024-01-27,active,
SUB00105,CUST00291,skincare,monthly,2024-01-21,cancelled,2024-07-19
SUB00106,CUST00292,skincare,monthly,2024-01-05,cancelled,2024-10-31
SUB00107,CUST00296,supplements,quarterly,2024-01-10,active,
SUB00108,CUST00299,wellness_bundle,quarterly,2024-01-26,active,
SUB00109,CUST00300,skincare,monthly,2024-01-12,cancelled,2024-02-11
SUB00110,CUST00301,supplements,monthly,2024-01-23,active,
SUB00111,CUST00302,supplements,monthly,2024-01-03,cancelled,2024-03-03
SUB00112,CUST00304,wellness_bundle,quarterly,2024-01-10,active,
SUB00113,CUST00305,supplements,monthly,2024-01-01,cancelled,2024-11-26
SUB00114,CUST00306,wellness_bundle,monthly,2024-01-06,cancelled,2024-03-06
SUB00115,CUST00307,supplements,monthly,2024-01-17,active,
SUB00116,CUST00308,skincare,quarterly,2024-01-24,active,
SUB00117,CUST00310,skincare,monthly,2024-01-01,active,
SUB00118,CUST00311,wellness_bundle,quarterly,2024-01-14,cancelled,2024-04-13
SUB00119,CUST00312,skincare,monthly,2024-01-02,cancelled,2024-06-30
SUB00120,CUST00314,skincare,quarterly,2024-01-10,active,
SUB00121,CUST00315,skincare,quarterly,2024-01-05,active,
SUB00122,CUST00316,skincare,monthly,2024-01-04,active,
SUB00123,CUST00317,skincare,quarterly,2024-01-09,active,
SUB00124,CUST00318,supplements,quarterly,2024-01-21,active,
SUB00125,CUST00319,wellness_bundle,monthly,2024-01-29,active,
SUB00126,CUST00321,supplements,quarterly,2024-01-04,active,
SUB00127,CUST00323,haircare,quarterly,2024-01-16,active,
SUB00128,CUST00324,skincare,monthly,2024-01-26,active,
SUB00129,CUST00326,wellness_bundle,monthly,2024-01-26,cancelled,2024-04-25
SUB00130,CUST00327,supplements,monthly,2024-01-22,cancelled,2024-04-21
SUB00131,CUST00334,supplements,monthly,2024-01-23,active,
SUB00132,CUST00335,supplements,quarterly,2024-01-15,active,
SUB00133,CUST00336,skincare,monthly,2024-01-02,cancelled,2024-04-01
SUB00134,CUST00337,wellness_bundle,monthly,2024-01-11,active,
SUB00135,CUST00341,supplements,monthly,2024-01-26,cancelled,2024-11-21
SUB00136,CUST00342,skincare,monthly,2024-01-28,active,
SUB00137,CUST00346,supplements,quarterly,2024-01-14,active,
SUB00138,CUST00347,supplements,quarterly,2024-01-06,active,
SUB00139,CUST00348,haircare,monthly,2024-01-20,cancelled,2024-09-16
SUB00140,CUST00351,haircare,monthly,2024-01-17,cancelled,2024-10-13
SUB00141,CUST00352,wellness_bundle,monthly,2024-01-16,cancelled,2024-08-13
SUB00142,CUST00353,skincare,monthly,2024-01-23,cancelled,2024-02-22
SUB00143,CUST00361,skincare,quarterly,2024-02-07,active,
SUB00144,CUST00366,skincare,monthly,2024-02-14,cancelled,2024-08-12
SUB00145,CUST00368,supplements,monthly,2024-02-22,cancelled,2024-06-21
SUB00146,CUST00369,haircare,quarterly,2024-02-05,active,
SUB00147,CUST00382,skincare,quarterly,2024-02-07,active,
SUB00148,CUST00383,supplements,monthly,2024-02-24,cancelled,2024-05-24
SUB00149,CUST00388,wellness_bundle,monthly,2024-02-20,active,
SUB00150,CUST00389,skincare,quarterly,2024-02-13,active,
SUB00151,CUST00394,wellness_bundle,quarterly,2024-02-09,active,
SUB00152,CUST00396,skincare,monthly,2024-02-15,cancelled,2024-07-14
SUB00153,CUST00401,skincare,monthly,2024-02-18,cancelled,2024-04-18
SUB00154,CUST00402,skincare,monthly,2024-02-12,active,
SUB00155,CUST00412,skincare,monthly,2024-02-09,active,
SUB00156,CUST00413,skincare,quarterly,2024-02-24,active,
SUB00157,CUST00417,wellness_bundle,quarterly,2024-02-01,active,
SUB00158,CUST00422,skincare,quarterly,2024-02-18,active,
SUB00159,CUST00423,skincare,monthly,2024-02-15,active,
SUB00160,CUST00425,wellness_bundle,quarterly,2024-02-25,active,
SUB00161,CUST00427,skincare,monthly,2024-02-27,cancelled,2024-03-28
SUB00162,CUST00435,haircare,quarterly,2024-02-18,active,
SUB00163,CUST00437,skincare,monthly,2024-02-08,active,
SUB00164,CUST00441,supplements,quarterly,2024-02-06,active,
SUB00165,CUST00443,haircare,quarterly,2024-02-05,active,
SUB00166,CUST00446,wellness_bundle,quarterly,2024-02-01,active,
SUB00167,CUST00447,supplements,monthly,2024-02-19,cancelled,2024-05-19
SUB00168,CUST00449,haircare,quarterly,2024-02-25,active,
SUB00169,CUST00451,supplements,monthly,2024-02-18,active,
SUB00170,CUST00452,supplements,quarterly,2024-02-17,active,
SUB00171,CUST00456,skincare,monthly,2024-02-02,active,
SUB00172,CUST00466,skincare,monthly,2024-02-20,active,
SUB00173,CUST00472,haircare,quarterly,2024-02-04,active,
SUB00174,CUST00473,wellness_bundle,monthly,2024-02-16,active,
SUB00175,CUST00476,wellness_bundle,monthly,2024-02-07,cancelled,2024-10-04
SUB00176,CUST00477,skincare,monthly,2024-02-19,active,
SUB00177,CUST00478,haircare,monthly,2024-02-20,cancelled,2024-12-16
SUB00178,CUST00480,supplements,monthly,2024-02-05,cancelled,2024-06-04
SUB00179,CUST00481,supplements,quarterly,2024-02-08,active,
SUB00180,CUST00484,wellness_bundle,quarterly,2024-02-03,active,
SUB00181,CUST00487,skincare,quarterly,2024-02-11,active,
SUB00182,CUST00489,skincare,monthly,2024-02-20,cancelled,2024-06-19
SUB00183,CUST00490,supplements,monthly,2024-02-14,cancelled,2024-05-14
SUB00184,CUST00491,supplements,monthly,2024-02-10,cancelled,2024-10-07
SUB00185,CUST00493,haircare,quarterly,2024-02-15,active,
SUB00186,CUST00494,haircare,monthly,2024-02-17,active,
SUB00187,CUST00496,skincare,monthly,2024-02-17,cancelled,2024-04-17
SUB00188,CUST00497,supplements,monthly,2024-02-14,active,
SUB00189,CUST00498,supplements,monthly,2024-02-16,cancelled,2024-06-15
SUB00190,CUST00499,wellness_bundle,monthly,2024-02-28,cancelled,2024-08-26
SUB00191,CUST00500,supplements,monthly,2024-02-18,cancelled,2024-11-14
SUB00192,CUST00503,wellness_bundle,quarterly,2024-02-28,active,
SUB00193,CUST00504,skincare,monthly,2024-02-11,cancelled,2024-07-10
SUB00194,CUST00505,wellness_bundle,monthly,2024-02-28,active,
SUB00195,CUST00508,wellness_bundle,monthly,2024-02-05,active,
SUB00196,CUST00516,skincare,monthly,2024-02-18,active,
SUB00197,CUST00517,haircare,quarterly,2024-02-13,active,
SUB00198,CUST00518,haircare,quarterly,2024-02-25,cancelled,2024-05-25
SUB00199,CUST00519,haircare,quarterly,2024-02-12,active,
SUB00200,CUST00521,haircare,monthly,2024-02-14,cancelled,2024-03-15
SUB00201,CUST00524,supplements,monthly,2024-02-27,cancelled,2024-04-27
SUB00202,CUST00525,wellness_bundle,monthly,2024-02-08,cancelled,2024-05-08
SUB00203,CUST00526,haircare,monthly,2024-02-07,active,
SUB00204,CUST00536,supplements,monthly,2024-02-27,active,
SUB00205,CUST00538,supplements,monthly,2024-02-08,cancelled,2024-08-06
SUB00206,CUST00539,skincare,monthly,2024-02-14,active,
SUB00207,CUST00540,supplements,monthly,2024-02-04,cancelled,2024-06-03
SUB00208,CUST00545,skincare,monthly,2024-02-04,cancelled,2024-10-31
SUB00209,CUST00546,haircare,monthly,2024-02-14,active,
SUB00210,CUST00548,wellness_bundle,quarterly,2024-02-20,active,
SUB00211,CUST00552,supplements,monthly,2024-02-22,active,
SUB00212,CUST00553,supplements,monthly,2024-02-13,active,
SUB00213,CUST00554,supplements,monthly,2024-02-07,active,
SUB00214,CUST00557,skincare,quarterly,2024-02-07,cancelled,2024-08-05
SUB00215,CUST00558,skincare,quarterly,2024-02-27,active,
SUB00216,CUST00560,skincare,monthly,2024-02-01,cancelled,2024-12-27
SUB00217,CUST00563,haircare,quarterly,2024-02-07,active,
SUB00218,CUST00567,skincare,quarterly,2024-02-07,active,
SUB00219,CUST00573,supplements,monthly,2024-02-14,cancelled,2024-04-14
SUB00220,CUST00576,supplements,quarterly,2024-02-06,active,
SUB00221,CUST00578,skincare,quarterly,2024-02-02,active,
SUB00222,CUST00579,skincare,quarterly,2024-02-17,active,
SUB00223,CUST00582,supplements,monthly,2024-02-11,cancelled,2024-05-11
SUB00224,CUST00586,skincare,monthly,2024-02-11,cancelled,2024-03-12
SUB00225,CUST00587,skincare,quarterly,2024-02-13,active,
SUB00226,CUST00590,wellness_bundle,quarterly,2024-02-17,active,
SUB00227,CUST00601,haircare,quarterly,2024-02-17,active,
SUB00228,CUST00602,skincare,monthly,2024-02-23,cancelled,2024-04-23
SUB00229,CUST00604,supplements,quarterly,2024-02-17,active,
SUB00230,CUST00605,haircare,monthly,2024-02-11,active,
SUB00231,CUST00606,supplements,quarterly,2024-02-15,active,
SUB00232,CUST00607,haircare,monthly,2024-02-12,cancelled,2024-05-12
SUB00233,CUST00608,supplements,monthly,2024-02-27,cancelled,2024-12-23
SUB00234,CUST00609,haircare,monthly,2024-02-27,cancelled,2024-08-25
SUB00235,CUST00611,supplements,quarterly,2024-02-24,cancelled,2024-11-20
SUB00236,CUST00613,supplements,monthly,2024-02-22,cancelled,2024-07-21
SUB00237,CUST00615,haircare,quarterly,2024-02-27,cancelled,2024-08-25
SUB00238,CUST00616,supplements,quarterly,2024-02-10,active,
SUB00239,CUST00617,haircare,monthly,2024-02-07,active,
SUB00240,CUST00619,skincare,monthly,2024-02-08,cancelled,2024-03-09
SUB00241,CUST00620,haircare,monthly,2024-02-16,cancelled,2024-03-17
SUB00242,CUST00622,supplements,quarterly,2024-02-22,active,
SUB00243,CUST00624,wellness_bundle,quarterly,2024-02-20,active,
SUB00244,CUST00625,wellness_bundle,quarterly,2024-02-19,active,
SUB00245,CUST00626,skincare,quarterly,2024-02-13,active,
SUB00246,CUST00629,supplements,monthly,2024-02-25,active,
SUB00247,CUST00630,supplements,quarterly,2024-02-23,active,
SUB00248,CUST00631,supplements,monthly,2024-02-03,cancelled,2024-10-30
SUB00249,CUST00632,skincare,monthly,2024-02-18,active,
SUB00250,CUST00633,skincare,monthly,2024-02-15,active,
SUB00251,CUST00634,supplements,quarterly,2024-02-16,cancelled,2024-11-12
SUB00252,CUST00637,haircare,monthly,2024-02-23,active,
SUB00253,CUST00639,supplements,quarterly,2024-02-05,active,
SUB00254,CUST00643,supplements,quarterly,2024-02-17,active,
SUB00255,CUST00645,haircare,monthly,2024-02-13,cancelled,2024-10-10
SUB00256,CUST00649,skincare,monthly,2024-02-19,cancelled,2024-09-16
SUB00257,CUST00650,wellness_bundle,monthly,2024-02-12,active,
SUB00258,CUST00651,supplements,quarterly,2024-02-19,active,
SUB00259,CUST00652,wellness_bundle,monthly,2024-02-21,active,
SUB00260,CUST00653,wellness_bundle,quarterly,2024-02-16,active,
SUB00261,CUST00654,skincare,quarterly,2024-02-12,active,
SUB00262,CUST00655,supplements,monthly,2024-02-22,active,
SUB00263,CUST00656,skincare,monthly,2024-02-15,cancelled,2024-11-11
SUB00264,CUST00659,supplements,monthly,2024-02-04,cancelled,2024-07-03
SUB00265,CUST00661,skincare,quarterly,2024-02-25,cancelled,2024-11-21
SUB00266,CUST00662,haircare,quarterly,2024-02-11,active,
SUB00267,CUST00663,wellness_bundle,quarterly,2024-02-06,active,
SUB00268,CUST00664,skincare,quarterly,2024-02-07,active,
SUB00269,CUST00666,supplements,monthly,2024-02-17,active,
SUB00270,CUST00667,supplements,quarterly,2024-02-04,active,
SUB00271,CUST00669,wellness_bundle,monthly,2024-02-16,cancelled,2024-05-16
SUB00272,CUST00670,supplements,monthly,2024-02-21,cancelled,2024-03-22
SUB00273,CUST00671,skincare,monthly,2024-02-25,active,
SUB00274,CUST00672,supplements,monthly,2024-02-21,active,
SUB00275,CUST00673,supplements,monthly,2024-02-08,cancelled,2024-11-04
SUB00276,CUST00674,skincare,quarterly,2024-02-22,active,
SUB00277,CUST00676,haircare,quarterly,2024-02-14,active,
SUB00278,CUST00677,supplements,monthly,2024-02-25,cancelled,2024-07-24
SUB00279,CUST00678,supplements,monthly,2024-02-05,cancelled,2024-04-05
SUB00280,CUST00679,skincare,monthly,2024-02-26,cancelled,2024-04-26
SUB00281,CUST00680,haircare,monthly,2024-02-09,cancelled,2024-11-05
SUB00282,CUST00682,skincare,quarterly,2024-02-16,active,
SUB00283,CUST00683,skincare,monthly,2024-02-22,active,
SUB00284,CUST00688,wellness_bundle,monthly,2024-02-26,active,
SUB00285,CUST00692,haircare,quarterly,2024-02-24,active,
SUB00286,CUST00693,skincare,monthly,2024-02-19,cancelled,2024-05-19
SUB00287,CUST00694,haircare,monthly,2024-02-21,cancelled,2024-06-20
SUB00288,CUST00696,skincare,monthly,2024-02-16,cancelled,2024-11-12
SUB00289,CUST00697,wellness_bundle,quarterly,2024-02-11,active,
SUB00290,CUST00698,skincare,monthly,2024-02-12,cancelled,2024-03-13
SUB00291,CUST00700,skincare,monthly,2024-02-06,active,
SUB00292,CUST00704,supplements,quarterly,2024-02-15,active,
SUB00293,CUST00705,haircare,quarterly,2024-02-07,cancelled,2024-08-05
SUB00294,CUST00709,wellness_bundle,monthly,2024-03-05,active,
SUB00295,CUST00718,haircare,monthly,2024-03-13,active,
SUB00296,CUST00720,skincare,monthly,2024-03-08,active,
SUB00297,CUST00721,wellness_bundle,quarterly,2024-03-01,active,
SUB00298,CUST00723,haircare,quarterly,2024-03-09,active,
SUB00299,CUST00727,skincare,monthly,2024-03-17,cancelled,2024-08-14
SUB00300,CUST00731,haircare,monthly,2024-03-15,active,
SUB00301,CUST00736,wellness_bundle,monthly,2024-03-20,cancelled,2024-05-19
SUB00302,CUST00746,wellness_bundle,monthly,2024-03-07,cancelled,2024-05-06
SUB00303,CUST00752,skincare,quarterly,2024-03-02,active,
SUB00304,CUST00755,skincare,monthly,2024-03-18,active,
SUB00305,CUST00758,wellness_bundle,monthly,2024-03-17,active,
SUB00306,CUST00759,skincare,quarterly,2024-03-24,active,
SUB00307,CUST00760,skincare,quarterly,2024-03-20,active,
SUB00308,CUST00765,wellness_bundle,monthly,2024-03-19,cancelled,2024-05-18
SUB00309,CUST00780,supplements,monthly,2024-03-30,cancelled,2024-06-28
SUB00310,CUST00783,skincare,monthly,2024-03-28,cancelled,2024-04-27
SUB00311,CUST00788,haircare,monthly,2024-03-19,active,
SUB00312,CUST00790,wellness_bundle,quarterly,2024-03-22,active,
SUB00313,CUST00795,skincare,quarterly,2024-03-05,active,
SUB00314,CUST00798,skincare,quarterly,2024-03-15,active,
SUB00315,CUST00800,skincare,quarterly,2024-03-15,active,
SUB00316,CUST00805,skincare,monthly,2024-03-27,active,
SUB00317,CUST00807,skincare,quarterly,2024-03-04,active,
SUB00318,CUST00817,haircare,monthly,2024-03-12,active,
SUB00319,CUST00821,haircare,monthly,2024-03-10,cancelled,2024-06-08
SUB00320,CUST00822,skincare,monthly,2024-03-04,cancelled,2024-11-29
SUB00321,CUST00826,skincare,monthly,2024-03-14,active,
SUB00322,CUST00827,skincare,quarterly,2024-03-01,active,
SUB00323,CUST00830,supplements,quarterly,2024-03-28,cancelled,2024-12-23
SUB00324,CUST00834,wellness_bundle,monthly,2024-03-10,cancelled,2024-08-07
SUB00325,CUST00836,wellness_bundle,monthly,2024-03-18,cancelled,2024-07-16
SUB00326,CUST00837,supplements,monthly,2024-03-22,cancelled,2024-08-19
SUB00327,CUST00843,supplements,quarterly,2024-03-01,cancelled,2024-08-28
SUB00328,CUST00844,supplements,quarterly,2024-03-21,active,
SUB00329,CUST00845,haircare,quarterly,2024-03-08,active,
SUB00330,CUST00846,skincare,quarterly,2024-03-23,active,
SUB00331,CUST00850,wellness_bundle,monthly,2024-03-01,active,
SUB00332,CUST00851,wellness_bundle,monthly,2024-03-26,active,
SUB00333,CUST00853,wellness_bundle,monthly,2024-03-18,cancelled,2024-08-15
SUB00334,CUST00854,supplements,quarterly,2024-03-14,active,
SUB00335,CUST00855,supplements,quarterly,2024-03-06,active,
SUB00336,CUST00856,supplements,monthly,2024-03-29,active,
SUB00337,CUST00857,haircare,quarterly,2024-03-24,active,
SUB00338,CUST00858,supplements,quarterly,2024-03-24,active,
SUB00339,CUST00859,supplements,monthly,2024-03-16,active,
SUB00340,CUST00860,skincare,quarterly,2024-03-26,active,
SUB00341,CUST00861,supplements,quarterly,2024-03-26,active,
SUB00342,CUST00863,supplements,monthly,2024-03-10,active,
SUB00343,CUST00864,wellness_bundle,monthly,2024-03-25,cancelled,2024-08-22
SUB00344,CUST00866,haircare,monthly,2024-03-23,cancelled,2024-10-19
SUB00345,CUST00868,supplements,monthly,2024-03-15,cancelled,2024-09-11
SUB00346,CUST00869,skincare,monthly,2024-03-10,active,
SUB00347,CUST00871,skincare,monthly,2024-03-05,cancelled,2024-10-01
SUB00348,CUST00873,skincare,quarterly,2024-03-11,active,
SUB00349,CUST00876,skincare,monthly,2024-03-18,active,
SUB00350,CUST00877,skincare,monthly,2024-03-15,cancelled,2024-04-14
SUB00351,CUST00879,skincare,monthly,2024-03-01,active,
SUB00352,CUST00882,supplements,monthly,2024-03-09,active,
SUB00353,CUST00884,haircare,quarterly,2024-03-11,active,
SUB00354,CUST00886,supplements,monthly,2024-03-22,active,
SUB00355,CUST00889,haircare,monthly,2024-03-23,active,
SUB00356,CUST00890,haircare,monthly,2024-03-18,active,
SUB00357,CUST00894,supplements,monthly,2024-03-03,cancelled,2024-04-02
SUB00358,CUST00896,skincare,quarterly,2024-03-27,active,
SUB00359,CUST00902,skincare,quarterly,2024-03-01,active,
SUB00360,CUST00903,supplements,quarterly,2024-03-11,active,
SUB00361,CUST00906,haircare,monthly,2024-03-20,cancelled,2024-06-18
SUB00362,CUST00907,skincare,monthly,2024-03-26,cancelled,2024-04-25
SUB00363,CUST00908,haircare,quarterly,2024-03-23,active,
SUB00364,CUST00919,wellness_bundle,quarterly,2024-03-24,cancelled,2024-06-22
SUB00365,CUST00928,skincare,quarterly,2024-03-22,active,
SUB00366,CUST00932,skincare,quarterly,2024-03-26,active,
SUB00367,CUST00935,skincare,quarterly,2024-03-07,active,
SUB00368,CUST00944,wellness_bundle,monthly,2024-03-16,cancelled,2024-10-12
SUB00369,CUST00946,skincare,quarterly,2024-03-19,active,
SUB00370,CUST00947,skincare,monthly,2024-03-20,cancelled,2024-06-18
SUB00371,CUST00954,supplements,monthly,2024-03-28,active,
SUB00372,CUST00956,haircare,monthly,2024-03-04,cancelled,2024-08-01
SUB00373,CUST00958,haircare,monthly,2024-03-13,cancelled,2024-07-11
SUB00374,CUST00959,skincare,monthly,2024-03-06,cancelled,2024-04-05
SUB00375,CUST00962,supplements,monthly,2024-03-02,active,
SUB00376,CUST00968,skincare,monthly,2024-03-22,cancelled,2024-07-20
SUB00377,CUST00970,haircare,quarterly,2024-03-24,active,
SUB00378,CUST00971,wellness_bundle,quarterly,2024-03-10,active,
SUB00379,CUST00973,supplements,monthly,2024-03-25,cancelled,2024-08-22
SUB00380,CUST00974,supplements,monthly,2024-03-08,cancelled,2024-08-05
SUB00381,CUST00975,supplements,monthly,2024-03-12,cancelled,2024-06-10
SUB00382,CUST00976,haircare,quarterly,2024-03-22,active,
SUB00383,CUST00977,haircare,monthly,2024-03-23,active,
SUB00384,CUST00978,supplements,monthly,2024-03-21,active,
SUB00385,CUST00979,skincare,monthly,2024-03-28,active,
SUB00386,CUST00980,wellness_bundle,monthly,2024-03-23,cancelled,2024-07-21
SUB00387,CUST00981,haircare,quarterly,2024-03-06,cancelled,2024-06-04
SUB00388,CUST00982,wellness_bundle,monthly,2024-03-22,active,
SUB00389,CUST00983,supplements,quarterly,2024-03-17,active,
SUB00390,CUST00984,supplements,monthly,2024-03-28,active,
SUB00391,CUST00985,skincare,quarterly,2024-03-06,active,
SUB00392,CUST00986,skincare,quarterly,2024-03-20,active,
SUB00393,CUST00987,skincare,monthly,2024-03-07,active,
SUB00394,CUST00988,wellness_bundle,monthly,2024-03-27,cancelled,2024-07-25
SUB00395,CUST00990,wellness_bundle,quarterly,2024-03-04,active,
SUB00396,CUST00991,skincare,monthly,2024-03-21,active,
SUB00397,CUST00992,supplements,monthly,2024-03-04,cancelled,2024-08-01
SUB00398,CUST00993,skincare,quarterly,2024-03-29,active,
SUB00399,CUST00995,skincare,monthly,2024-03-01,cancelled,2024-10-27
SUB00400,CUST00996,supplements,quarterly,2024-03-27,active,
SUB00401,CUST00999,supplements,quarterly,2024-03-04,active,
SUB00402,CUST01001,supplements,monthly,2024-03-17,active,
