subscription_id,customer_id,plan_type,product_category_key,lifetime_days,is_churned,estimated_mrr,churn_probability,risk_band
SUB00078,CUST00248,monthly,haircare,210,True,0.0,0.9769,High
SUB00079,CUST00249,monthly,haircare,865,False,16.23,0.3452,Medium
SUB00080,CUST00250,monthly,haircare,880,False,16.57,0.3265,Low
SUB00081,CUST00251,monthly,wellness_bundle,874,False,29.49,0.2285,Low
SUB00082,CUST00252,monthly,skincare,90,True,0.0,0.9997,High
SUB00083,CUST00254,quarterly,haircare,886,False,6.66,0.4724,Medium
SUB00084,CUST00255,monthly,skincare,30,True,0.0,1.0,High
SUB00085,CUST00259,monthly,skincare,120,True,0.0,0.9991,High
SUB00086,CUST00262,monthly,wellness_bundle,886,False,30.9,0.076,Low
SUB00087,CUST00263,quarterly,skincare,879,False,6.37,0.7271,High
SUB00088,CUST00264,quarterly,skincare,866,False,6.27,0.7312,High
SUB00089,CUST00265,quarterly,haircare,876,False,5.16,0.7428,High
SUB00090,CUST00266,monthly,skincare,871,False,18.93,0.3253,Low
SUB00091,CUST00268,monthly,haircare,270,True,0.0,0.8183,High
SUB00092,CUST00269,quarterly,skincare,859,False,5.69,0.7574,High
SUB00093,CUST00270,monthly,haircare,863,False,15.72,0.3516,Medium
SUB00094,CUST00271,monthly,supplements,150,True,0.0,0.9974,High
SUB00095,CUST00273,quarterly,haircare,867,False,5.28,0.7283,High
SUB00096,CUST00275,quarterly,supplements,869,False,4.85,0.7806,High
SUB00097,CUST00276,monthly,supplements,270,True,0.0,0.8531,High
SUB00098,CUST00278,quarterly,supplements,270,True,0.0,0.7779,High
SUB00099,CUST00279,quarterly,supplements,868,False,4.96,0.7788,High
SUB00100,CUST00280,monthly,skincare,858,False,17.33,0.325,Low
SUB00101,CUST00281,quarterly,skincare,872,False,4.78,0.6935,High
SUB00102,CUST00284,monthly,skincare,120,True,0.0,0.9989,High
SUB00103,CUST00287,quarterly,skincare,180,True,0.0,0.8902,High
SUB00104,CUST00288,quarterly,supplements,860,False,4.75,0.7902,High
SUB00105,CUST00291,monthly,skincare,180,True,0.0,0.9915,High
SUB00106,CUST00292,monthly,skincare,300,True,0.0,0.6028,Medium
SUB00107,CUST00296,quarterly,supplements,877,False,4.83,0.7803,High
SUB00108,CUST00299,quarterly,wellness_bundle,861,False,10.14,0.6969,High
SUB00109,CUST00300,monthly,skincare,30,True,0.0,1.0,High
SUB00110,CUST00301,monthly,supplements,864,False,14.25,0.4303,Medium
SUB00111,CUST00302,monthly,supplements,60,True,0.0,0.9999,High
SUB00112,CUST00304,quarterly,wellness_bundle,877,False,10.12,0.6932,High
SUB00113,CUST00305,monthly,supplements,330,True,0.0,0.439,Medium
SUB00114,CUST00306,monthly,wellness_bundle,60,True,0.0,0.9999,High
SUB00115,CUST00307,monthly,supplements,870,False,14.67,0.4212,Medium
SUB00116,CUST00308,quarterly,skincare,863,False,6.55,0.7257,High
SUB00117,CUST00310,monthly,skincare,886,False,19.14,0.1495,Low
SUB00118,CUST00311,quarterly,wellness_bundle,90,True,0.0,0.9587,High
SUB00119,CUST00312,monthly,skincare,180,True,0.0,0.9916,High
SUB00120,CUST00314,quarterly,skincare,877,False,6.08,0.7435,High
SUB00121,CUST00315,quarterly,skincare,882,False,7.65,0.4849,Medium
SUB00122,CUST00316,monthly,skincare,883,False,16.35,0.1433,Low
SUB00123,CUST00317,quarterly,skincare,878,False,4.97,0.6884,High
SUB00124,CUST00318,quarterly,supplements,866,False,4.8,0.7819,High
SUB00125,CUST00319,monthly,wellness_bundle,858,False,29.78,0.2328,Low
SUB00126,CUST00321,quarterly,supplements,883,False,5.56,0.5595,Medium
SUB00127,CUST00323,quarterly,haircare,871,False,5.32,0.7327,High
SUB00128,CUST00324,monthly,skincare,861,False,17.68,0.3587,Medium
SUB00129,CUST00326,monthly,wellness_bundle,90,True,0.0,0.9995,High
SUB00130,CUST00327,monthly,supplements,90,True,0.0,0.9997,High
SUB00131,CUST00334,monthly,supplements,864,False,13.01,0.4208,Medium
SUB00132,CUST00335,quarterly,supplements,872,False,3.4,0.7624,High
SUB00133,CUST00336,monthly,skincare,90,True,0.0,0.9997,High
SUB00134,CUST00337,monthly,wellness_bundle,876,False,27.63,0.2198,Low
SUB00135,CUST00341,monthly,supplements,300,True,0.0,0.6644,High
SUB00136,CUST00342,monthly,skincare,859,False,18.77,0.3344,Medium
SUB00137,CUST00346,quarterly,supplements,873,False,4.9,0.7793,High
SUB00138,CUST00347,quarterly,supplements,881,False,5.01,0.5038,Medium
SUB00139,CUST00348,monthly,haircare,240,True,0.0,0.9301,High
SUB00140,CUST00351,monthly,haircare,270,True,0.0,0.8101,High
SUB00141,CUST00352,monthly,wellness_bundle,210,True,0.0,0.9618,High
SUB00142,CUST00353,monthly,skincare,30,True,0.0,1.0,High
SUB00143,CUST00361,quarterly,skincare,849,False,5.14,0.4449,Medium
SUB00144,CUST00366,monthly,skincare,180,True,0.0,0.9754,High
SUB00145,CUST00368,monthly,supplements,120,True,0.0,0.9979,High
SUB00146,CUST00369,quarterly,haircare,851,False,5.43,0.5084,Medium
SUB00147,CUST00382,quarterly,skincare,849,False,6.52,0.4932,Medium
SUB00148,CUST00383,monthly,supplements,90,True,0.0,0.9991,High
SUB00149,CUST00388,monthly,wellness_bundle,836,False,26.33,0.2408,Low
SUB00150,CUST00389,quarterly,skincare,843,False,6.37,0.4983,Medium
SUB00151,CUST00394,quarterly,wellness_bundle,847,False,10.16,0.4694,Medium
SUB00152,CUST00396,monthly,skincare,150,True,0.0,0.992,High
SUB00153,CUST00401,monthly,skincare,60,True,0.0,0.9996,High
SUB00154,CUST00402,monthly,skincare,844,False,15.65,0.3465,Medium
SUB00155,CUST00412,monthly,skincare,847,False,17.08,0.3546,Medium
SUB00156,CUST00413,quarterly,skincare,832,False,6.73,0.4913,Medium
SUB00157,CUST00417,quarterly,wellness_bundle,855,False,7.88,0.4505,Medium
SUB00158,CUST00422,quarterly,skincare,838,False,6.23,0.5031,Medium
SUB00159,CUST00423,monthly,skincare,841,False,17.16,0.3634,Medium
SUB00160,CUST00425,quarterly,wellness_bundle,831,False,11.24,0.4363,Medium
SUB00161,CUST00427,monthly,skincare,30,True,0.0,0.9999,High
SUB00162,CUST00435,quarterly,haircare,838,False,5.6,0.4895,Medium
SUB00163,CUST00437,monthly,skincare,848,False,17.38,0.3503,Medium
SUB00164,CUST00441,quarterly,supplements,850,False,3.89,0.5073,Medium
SUB00165,CUST00443,quarterly,haircare,851,False,5.6,0.5012,Medium
SUB00166,CUST00446,quarterly,wellness_bundle,855,False,9.58,0.4712,Medium
SUB00167,CUST00447,monthly,supplements,90,True,0.0,0.9993,High
SUB00168,CUST00449,quarterly,haircare,831,False,4.37,0.4479,Medium
SUB00169,CUST00451,monthly,supplements,838,False,12.33,0.4349,Medium
SUB00170,CUST00452,quarterly,supplements,839,False,4.68,0.5884,Medium
SUB00171,CUST00456,monthly,skincare,854,False,17.45,0.146,Low
SUB00172,CUST00466,monthly,skincare,836,False,15.18,0.3633,Medium
SUB00173,CUST00472,quarterly,haircare,852,False,5.7,0.4842,Medium
SUB00174,CUST00473,monthly,wellness_bundle,840,False,26.41,0.2422,Low
SUB00175,CUST00476,monthly,wellness_bundle,240,True,0.0,0.7364,High
SUB00176,CUST00477,monthly,skincare,837,False,16.04,0.342,Medium
SUB00177,CUST00478,monthly,haircare,300,True,0.0,0.3561,Medium
SUB00178,CUST00480,monthly,supplements,120,True,0.0,0.9979,High
SUB00179,CUST00481,quarterly,supplements,848,False,4.85,0.5666,Medium
SUB00180,CUST00484,quarterly,wellness_bundle,853,False,7.99,0.4437,Medium
SUB00181,CUST00487,quarterly,skincare,845,False,6.08,0.5056,Medium
SUB00182,CUST00489,monthly,skincare,120,True,0.0,0.9972,High
SUB00183,CUST00490,monthly,supplements,90,True,0.0,0.9993,High
SUB00184,CUST00491,monthly,supplements,240,True,0.0,0.872,High
SUB00185,CUST00493,quarterly,haircare,841,False,5.95,0.4797,Medium
SUB00186,CUST00494,monthly,haircare,839,False,15.48,0.354,Medium
SUB00187,CUST00496,monthly,skincare,60,True,0.0,0.9996,High
SUB00188,CUST00497,monthly,supplements,842,False,12.82,0.422,Medium
SUB00189,CUST00498,monthly,supplements,120,True,0.0,0.998,High
SUB00190,CUST00499,monthly,wellness_bundle,180,True,0.0,0.9663,High
SUB00191,CUST00500,monthly,supplements,270,True,0.0,0.7027,High
SUB00192,CUST00503,quarterly,wellness_bundle,828,False,11.06,0.4417,Medium
SUB00193,CUST00504,monthly,skincare,150,True,0.0,0.9923,High
SUB00194,CUST00505,monthly,wellness_bundle,828,False,29.33,0.239,Low
SUB00195,CUST00508,monthly,wellness_bundle,851,False,31.18,0.0872,Low
SUB00196,CUST00516,monthly,skincare,838,False,15.97,0.3486,Medium
SUB00197,CUST00517,quarterly,haircare,843,False,5.79,0.4999,Medium
SUB00198,CUST00518,quarterly,haircare,90,True,0.0,0.8899,High
SUB00199,CUST00519,quarterly,haircare,844,False,5.61,0.4882,Medium
SUB00200,CUST00521,monthly,haircare,30,True,0.0,0.9999,High
SUB00201,CUST00524,monthly,supplements,60,True,0.0,0.9998,High
SUB00202,CUST00525,monthly,wellness_bundle,90,True,0.0,0.9989,High
SUB00203,CUST00526,monthly,haircare,849,False,15.37,0.3527,Medium
SUB00204,CUST00536,monthly,supplements,829,False,12.27,0.4295,Medium
SUB00205,CUST00538,monthly,supplements,180,True,0.0,0.9842,High
SUB00206,CUST00539,monthly,skincare,842,False,17.13,0.37,Medium
SUB00207,CUST00540,monthly,supplements,120,True,0.0,0.9979,High
SUB00208,CUST00545,monthly,skincare,270,True,0.0,0.6214,Medium
SUB00209,CUST00546,monthly,haircare,842,False,15.41,0.3488,Medium
SUB00210,CUST00548,quarterly,wellness_bundle,836,False,10.74,0.4473,Medium
SUB00211,CUST00552,monthly,supplements,834,False,13.8,0.4425,Medium
SUB00212,CUST00553,monthly,supplements,843,False,13.26,0.4476,Medium
SUB00213,CUST00554,monthly,supplements,849,False,13.63,0.4467,Medium
SUB00214,CUST00557,quarterly,skincare,180,True,0.0,0.7455,High
SUB00215,CUST00558,quarterly,skincare,829,False,5.12,0.4564,Medium
SUB00216,CUST00560,monthly,skincare,330,True,0.0,0.1519,Low
SUB00217,CUST00563,quarterly,haircare,849,False,4.32,0.4573,Medium
SUB00218,CUST00567,quarterly,skincare,849,False,6.53,0.4932,Medium
SUB00219,CUST00573,monthly,supplements,60,True,0.0,0.9998,High
SUB00220,CUST00576,quarterly,supplements,850,False,4.64,0.581,Medium
SUB00221,CUST00578,quarterly,skincare,854,False,6.31,0.4978,Medium
SUB00222,CUST00579,quarterly,skincare,839,False,5.93,0.5106,Medium
SUB00223,CUST00582,monthly,supplements,90,True,0.0,0.9993,High
SUB00224,CUST00586,monthly,skincare,30,True,0.0,0.9999,High
SUB00225,CUST00587,quarterly,skincare,843,False,6.13,0.5047,Medium
SUB00226,CUST00590,quarterly,wellness_bundle,839,False,10.32,0.4736,Medium
SUB00227,CUST00601,quarterly,haircare,839,False,5.75,0.4853,Medium
SUB00228,CUST00602,monthly,skincare,60,True,0.0,0.9997,High
SUB00229,CUST00604,quarterly,supplements,839,False,5.08,0.5732,Medium
SUB00230,CUST00605,monthly,haircare,845,False,13.42,0.3653,Medium
SUB00231,CUST00606,quarterly,supplements,841,False,4.93,0.5656,Medium
SUB00232,CUST00607,monthly,haircare,90,True,0.0,0.9987,High
SUB00233,CUST00608,monthly,supplements,300,True,0.0,0.4371,Medium
SUB00234,CUST00609,monthly,haircare,180,True,0.0,0.9766,High
SUB00235,CUST00611,quarterly,supplements,270,True,0.0,0.5695,Medium
SUB00236,CUST00613,monthly,supplements,150,True,0.0,0.9934,High
SUB00237,CUST00615,quarterly,haircare,180,True,0.0,0.7317,High
SUB00238,CUST00616,quarterly,supplements,846,False,4.83,0.5813,Medium
SUB00239,CUST00617,monthly,haircare,849,False,13.67,0.3563,Medium
SUB00240,CUST00619,monthly,skincare,30,True,0.0,0.9998,High
SUB00241,CUST00620,monthly,haircare,30,True,0.0,0.9999,High
SUB00242,CUST00622,quarterly,supplements,834,False,4.94,0.5664,Medium
SUB00243,CUST00624,quarterly,wellness_bundle,836,False,10.67,0.449,Medium
SUB00244,CUST00625,quarterly,wellness_bundle,837,False,8.23,0.4271,Medium
SUB00245,CUST00626,quarterly,skincare,843,False,5.81,0.5248,Medium
SUB00246,CUST00629,monthly,supplements,831,False,13.49,0.4519,Medium
SUB00247,CUST00630,quarterly,supplements,833,False,4.74,0.5784,Medium
SUB00248,CUST00631,monthly,supplements,270,True,0.0,0.6952,High
SUB00249,CUST00632,monthly,skincare,838,False,17.22,0.3547,Medium
SUB00250,CUST00633,monthly,skincare,841,False,17.92,0.3358,Medium
SUB00251,CUST00634,quarterly,supplements,270,True,0.0,0.5045,Medium
SUB00252,CUST00637,monthly,haircare,833,False,15.54,0.3545,Medium
SUB00253,CUST00639,quarterly,supplements,851,False,4.98,0.563,Medium
SUB00254,CUST00643,quarterly,supplements,839,False,5.13,0.5607,Medium
SUB00255,CUST00645,monthly,haircare,240,True,0.0,0.8143,High
SUB00256,CUST00649,monthly,skincare,210,True,0.0,0.9277,High
SUB00257,CUST00650,monthly,wellness_bundle,844,False,28.12,0.2398,Low
SUB00258,CUST00651,quarterly,supplements,837,False,4.9,0.567,Medium
SUB00259,CUST00652,monthly,wellness_bundle,835,False,28.76,0.2379,Low
SUB00260,CUST00653,quarterly,wellness_bundle,840,False,8.5,0.4197,Medium
SUB00261,CUST00654,quarterly,skincare,844,False,6.53,0.4941,Medium
SUB00262,CUST00655,monthly,supplements,834,False,13.67,0.444,Medium
SUB00263,CUST00656,monthly,skincare,270,True,0.0,0.5821,Medium
SUB00264,CUST00659,monthly,supplements,150,True,0.0,0.9933,High
SUB00265,CUST00661,quarterly,skincare,270,True,0.0,0.4868,Medium
SUB00266,CUST00662,quarterly,haircare,845,False,5.72,0.485,Medium
SUB00267,CUST00663,quarterly,wellness_bundle,850,False,10.46,0.4579,Medium
SUB00268,CUST00664,quarterly,skincare,849,False,6.23,0.5008,Medium
SUB00269,CUST00666,monthly,supplements,839,False,13.26,0.4572,Medium
SUB00270,CUST00667,quarterly,supplements,852,False,5.08,0.5602,Medium
SUB00271,CUST00669,monthly,wellness_bundle,90,True,0.0,0.9989,High
SUB00272,CUST00670,monthly,supplements,30,True,0.0,0.9999,High
SUB00273,CUST00671,monthly,skincare,831,False,16.23,0.3367,Medium
SUB00274,CUST00672,monthly,supplements,835,False,13.33,0.4598,Medium
SUB00275,CUST00673,monthly,supplements,270,True,0.0,0.6716,High
SUB00276,CUST00674,quarterly,skincare,834,False,6.75,0.4903,Medium
SUB00277,CUST00676,quarterly,haircare,842,False,4.4,0.4354,Medium
SUB00278,CUST00677,monthly,supplements,150,True,0.0,0.9944,High
SUB00279,CUST00678,monthly,supplements,60,True,0.0,0.9998,High
SUB00280,CUST00679,monthly,skincare,60,True,0.0,0.9997,High
SUB00281,CUST00680,monthly,haircare,270,True,0.0,0.6201,Medium
SUB00282,CUST00682,quarterly,skincare,840,False,6.01,0.5084,Medium
SUB00283,CUST00683,monthly,skincare,834,False,16.66,0.3751,Medium
SUB00284,CUST00688,monthly,wellness_bundle,830,False,25.86,0.2561,Low
SUB00285,CUST00692,quarterly,haircare,832,False,5.84,0.4843,Medium
SUB00286,CUST00693,monthly,skincare,90,True,0.0,0.999,High
SUB00287,CUST00694,monthly,haircare,120,True,0.0,0.9971,High
SUB00288,CUST00696,monthly,skincare,270,True,0.0,0.6192,Medium
SUB00289,CUST00697,quarterly,wellness_bundle,845,False,10.25,0.4662,Medium
SUB00290,CUST00698,monthly,skincare,30,True,0.0,0.9999,High
SUB00291,CUST00700,monthly,skincare,850,False,17.34,0.3495,Medium
SUB00292,CUST00704,quarterly,supplements,841,False,4.87,0.5672,Medium
SUB00293,CUST00705,quarterly,haircare,180,True,0.0,0.6761,High
SUB00294,CUST00709,monthly,wellness_bundle,822,False,29.2,0.1025,Low
SUB00295,CUST00718,monthly,haircare,814,False,14.04,0.3818,Medium
SUB00296,CUST00720,monthly,skincare,819,False,16.87,0.3571,Medium
SUB00297,CUST00721,quarterly,wellness_bundle,826,False,7.95,0.2197,Low
SUB00298,CUST00723,quarterly,haircare,818,False,5.75,0.2576,Low
SUB00299,CUST00727,monthly,skincare,150,True,0.0,0.9752,High
SUB00300,CUST00731,monthly,haircare,812,False,13.66,0.3417,Medium
SUB00301,CUST00736,monthly,wellness_bundle,60,True,0.0,0.999,High
SUB00302,CUST00746,monthly,wellness_bundle,60,True,0.0,0.9989,High
SUB00303,CUST00752,quarterly,skincare,825,False,6.24,0.2828,Low
SUB00304,CUST00755,monthly,skincare,809,False,14.94,0.3547,Medium
SUB00305,CUST00758,monthly,wellness_bundle,810,False,27.02,0.2657,Low
SUB00306,CUST00759,quarterly,skincare,803,False,6.9,0.2609,Low
SUB00307,CUST00760,quarterly,skincare,807,False,6.19,0.2859,Low
SUB00308,CUST00765,monthly,wellness_bundle,60,True,0.0,0.999,High
SUB00309,CUST00780,monthly,supplements,90,True,0.0,0.998,High
SUB00310,CUST00783,monthly,skincare,30,True,0.0,0.9997,High
SUB00311,CUST00788,monthly,haircare,808,False,14.79,0.3648,Medium
SUB00312,CUST00790,quarterly,wellness_bundle,805,False,8.51,0.2137,Low
SUB00313,CUST00795,quarterly,skincare,822,False,6.75,0.2607,Low
SUB00314,CUST00798,quarterly,skincare,812,False,6.8,0.2613,Low
SUB00315,CUST00800,quarterly,skincare,812,False,6.59,0.2654,Low
SUB00316,CUST00805,monthly,skincare,800,False,14.75,0.3792,Medium
SUB00317,CUST00807,quarterly,skincare,823,False,6.2,0.2829,Low
SUB00318,CUST00817,monthly,haircare,815,False,10.13,0.3454,Medium
SUB00319,CUST00821,monthly,haircare,90,True,0.0,0.9973,High
SUB00320,CUST00822,monthly,skincare,270,True,0.0,0.3635,Medium
SUB00321,CUST00826,monthly,skincare,813,False,16.41,0.372,Medium
SUB00322,CUST00827,quarterly,skincare,826,False,6.58,0.2635,Low
SUB00323,CUST00830,quarterly,supplements,270,True,0.0,0.3238,Low
SUB00324,CUST00834,monthly,wellness_bundle,150,True,0.0,0.9733,High
SUB00325,CUST00836,monthly,wellness_bundle,120,True,0.0,0.9901,High
SUB00326,CUST00837,monthly,supplements,150,True,0.0,0.9838,High
SUB00327,CUST00843,quarterly,supplements,180,True,0.0,0.5778,Medium
SUB00328,CUST00844,quarterly,supplements,806,False,5.19,0.3359,Medium
SUB00329,CUST00845,quarterly,haircare,819,False,5.32,0.2792,Low
SUB00330,CUST00846,quarterly,skincare,804,False,6.63,0.266,Low
SUB00331,CUST00850,monthly,wellness_bundle,826,False,30.19,0.092,Low
SUB00332,CUST00851,monthly,wellness_bundle,801,False,23.25,0.2646,Low
SUB00333,CUST00853,monthly,wellness_bundle,150,True,0.0,0.9708,High
SUB00334,CUST00854,quarterly,supplements,813,False,5.18,0.3192,Low
SUB00335,CUST00855,quarterly,supplements,821,False,5.08,0.3202,Low
SUB00336,CUST00856,monthly,supplements,798,False,12.24,0.4847,Medium
SUB00337,CUST00857,quarterly,haircare,803,False,4.68,0.2176,Low
SUB00338,CUST00858,quarterly,supplements,803,False,4.97,0.325,Low
SUB00339,CUST00859,monthly,supplements,811,False,12.75,0.4587,Medium
SUB00340,CUST00860,quarterly,skincare,801,False,6.89,0.2614,Low
SUB00341,CUST00861,quarterly,supplements,801,False,5.04,0.3238,Low
SUB00342,CUST00863,monthly,supplements,817,False,11.66,0.4335,Medium
SUB00343,CUST00864,monthly,wellness_bundle,150,True,0.0,0.9705,High
SUB00344,CUST00866,monthly,haircare,210,True,0.0,0.8316,High
SUB00345,CUST00868,monthly,supplements,180,True,0.0,0.9488,High
SUB00346,CUST00869,monthly,skincare,817,False,16.18,0.3735,Medium
SUB00347,CUST00871,monthly,skincare,210,True,0.0,0.8322,High
SUB00348,CUST00873,quarterly,skincare,816,False,6.53,0.2659,Low
SUB00349,CUST00876,monthly,skincare,809,False,16.45,0.361,Medium
SUB00350,CUST00877,monthly,skincare,30,True,0.0,0.9997,High
SUB00351,CUST00879,monthly,skincare,826,False,17.2,0.1764,Low
SUB00352,CUST00882,monthly,supplements,818,False,12.87,0.4601,Medium
SUB00353,CUST00884,quarterly,haircare,816,False,3.53,0.1808,Low
SUB00354,CUST00886,monthly,supplements,805,False,11.33,0.4493,Medium
SUB00355,CUST00889,monthly,haircare,804,False,13.76,0.3552,Medium
SUB00356,CUST00890,monthly,haircare,809,False,14.74,0.3648,Medium
SUB00357,CUST00894,monthly,supplements,30,True,0.0,0.9998,High
SUB00358,CUST00896,quarterly,skincare,800,False,6.81,0.2631,Low
SUB00359,CUST00902,quarterly,skincare,826,False,6.6,0.263,Low
SUB00360,CUST00903,quarterly,supplements,816,False,5.19,0.3184,Low
SUB00361,CUST00906,monthly,haircare,90,True,0.0,0.9974,High
SUB00362,CUST00907,monthly,skincare,30,True,0.0,0.9997,High
SUB00363,CUST00908,quarterly,haircare,804,False,5.75,0.2596,Low
SUB00364,CUST00919,quarterly,wellness_bundle,90,True,0.0,0.7432,High
SUB00365,CUST00928,quarterly,skincare,805,False,6.56,0.2671,Low
SUB00366,CUST00932,quarterly,skincare,801,False,6.95,0.2602,Low
SUB00367,CUST00935,quarterly,skincare,820,False,6.42,0.2808,Low
SUB00368,CUST00944,monthly,wellness_bundle,210,True,0.0,0.786,High
SUB00369,CUST00946,quarterly,skincare,808,False,6.69,0.2642,Low
SUB00370,CUST00947,monthly,skincare,90,True,0.0,0.9974,High
SUB00371,CUST00954,monthly,supplements,799,False,12.83,0.4659,Medium
SUB00372,CUST00956,monthly,haircare,150,True,0.0,0.9762,High
SUB00373,CUST00958,monthly,haircare,120,True,0.0,0.9928,High
SUB00374,CUST00959,monthly,skincare,30,True,0.0,0.9997,High
SUB00375,CUST00962,monthly,supplements,825,False,14.15,0.2199,Low
SUB00376,CUST00968,monthly,skincare,120,True,0.0,0.9927,High
